minute,UMAP_1,UMAP_2
ema_230421_090640.WAV,4.63833,19.584543
ema_230421_090745.WAV,4.7445908,18.807056
firstreef_230420_201800.WAV,8.369742,23.957268
firstreef_230420_201500.WAV,9.024564,25.279093
firstreef_230420_201200.WAV,10.1524105,24.883854
firstreef_230420_200900.WAV,9.289915,24.132578
firstreef_230420_200600.WAV,9.4594,24.618237
firstreef_230420_200300.WAV,9.6982765,25.326178
firstreef_230420_200000.WAV,9.86018,24.104551
ema_230421_085905.WAV,4.280012,19.35912
ema_230421_090010.WAV,5.4401855,19.110376
ema_230421_090115.WAV,4.8765197,19.762333
ema_230421_090220.WAV,6.0376234,19.908855
ema_230421_090325.WAV,4.614863,20.446283
ema_230421_090430.WAV,5.3674536,20.417942
ema_230421_090535.WAV,5.361642,19.5193
firstreef_230420_195700.WAV,8.366519,24.86915
firstreef_230420_195400.WAV,8.808426,24.632572
firstreef_230420_195100.WAV,9.023944,23.637907
narega1_230424_122930.WAV,17.917053,14.78566
narega1_230424_122825.WAV,17.553331,14.287307
narega1_230424_122720.WAV,18.84157,14.381268
narega1_230424_122615.WAV,18.574877,13.230218
narega1_230424_122510.WAV,17.28509,13.452722
narega1_230424_122405.WAV,18.74664,13.770089
narega1_230424_122300.WAV,18.190145,14.499538
narega1_230424_122155.WAV,18.0795,13.826366
narega1_230424_122050.WAV,16.815357,13.838789
narega1_230424_121945.WAV,17.971256,13.1815195
tuare_230420_234200.WAV,14.132368,13.750662
tuare_230420_233900.WAV,13.65159,12.793341
tuare_230420_233600.WAV,13.229106,13.62868
tuare_230420_233300.WAV,13.794928,13.795779
tuare_230420_233000.WAV,13.712025,14.654947
tuare_230420_232700.WAV,14.05145,14.535206
tuare_230420_232400.WAV,13.129896,14.287095
tuare_230420_232100.WAV,13.90125,13.299452
tuare_230420_231800.WAV,14.604229,14.278416
tuare_230420_231500.WAV,13.070986,13.290628
ema_230421_085800.WAV,4.168583,19.98923
